ct_name,macro_avg_dice,micro_avg_dice,dice_right adrenal gland,dice_left adrenal gland,dice_bladder,dice_duodenum,dice_esophagus,dice_gallbladder,dice_heart,dice_right kidney,dice_left kidney,dice_liver,dice_pancreas,dice_prostate,dice_small bowel,dice_spleen,dice_stomach
10-03-2009-NA-CT-38176.nii.gz,0.6403902746737004,0.82673234,0.0,0.043290045112371445,0.8946162462234497,0.46545159816741943,0.6868078112602234,0.7642276287078857,0.9141276478767395,0.9465480446815491,0.9504220485687256,0.9588712453842163,0.6694614887237549,0.0,0.5831440091133118,0.9171165227890015,0.8117697834968567
02-22-2006-NA-CT-89856.nii.gz,0.7501177589098612,0.9111047,0.5454035401344299,0.508707582950592,0.9496250152587891,0.7139778137207031,0.8055741786956787,0.9021641612052917,0.8552195429801941,0.9500622153282166,0.9637401700019836,0.9676659107208252,0.7553669214248657,0.627911388874054,0.7782760858535767,0.0,0.9280718564987183
06-14-2007-NA-CT-57378.nii.gz,0.6501788397630056,0.90720755,0.5181910991668701,0.6054961681365967,0.1663723886013031,0.6020162105560303,0.6179136633872986,0.9173494577407837,0.8208345174789429,0.0,0.9685968160629272,0.9564065337181091,0.8621357083320618,0.0,0.8479499816894531,0.9406461715698242,0.9287738800048828
09-26-2009-NA-CT-63780.nii.gz,0.6853741451011349,0.91174334,0.5423076748847961,0.6362922191619873,0.7500850558280945,0.6418419480323792,0.0,0.8426704406738281,0.0018065033946186304,0.9504926204681396,0.9486597180366516,0.9784191250801086,0.676723062992096,0.6168160438537598,0.7847310900688171,0.9698185920715332,0.9399480819702148
08-29-2009-NA-CT-36475.nii.gz,0.7369422912597656,0.8603282,0.4923672378063202,0.4834323525428772,0.9430010914802551,0.38254138827323914,0.8080688118934631,0.8924299478530884,0.921269953250885,0.9511885046958923,0.9538277387619019,0.9687299132347107,0.8355925679206848,0.0,0.5879371166229248,0.9526414275169373,0.8811063170433044
07-22-2005-NA-CT-97382.nii.gz,0.764041272799174,0.8583524,0.6589411497116089,0.57419353723526,0.9423654675483704,0.7211267352104187,0.6843964457511902,0.8746662139892578,0.820550262928009,0.956027090549469,0.9575176239013672,0.9639480710029602,0.8528458476066589,0.0,0.5495567321777344,0.9594643712043762,0.945019543170929
06-06-2005-NA-CT-54422.nii.gz,0.6877551168203354,0.8544089,0.1819031983613968,0.3928225040435791,0.6549097895622253,0.6880773305892944,0.6487277150154114,0.8380972743034363,0.6714667081832886,0.939354658126831,0.964431881904602,0.9585744142532349,0.8720456957817078,0.0,0.6316423416137695,0.9300104379653931,0.9442628026008606
09-09-2008-NA-CT-39935.nii.gz,0.6085293286790451,0.80285937,0.41602352261543274,0.1945231407880783,0.8730145692825317,0.510627806186676,0.7467607259750366,0.7694750428199768,0.8221424221992493,0.9506400227546692,0.0,0.941307008266449,0.642310380935669,0.01040763221681118,0.42254146933555603,0.8812685608863831,0.9468976259231567
10-26-2005-NA-CT-33614.nii.gz,0.7238204900175333,0.91276777,0.011228581890463829,0.21552832424640656,0.9170857667922974,0.6919076442718506,0.7495368719100952,0.9225979447364807,0.8476617932319641,0.9666548371315002,0.9639219045639038,0.9616208076477051,0.8042037487030029,0.0,0.9046995043754578,0.9699538946151733,0.930705726146698
10-05-2009-NA-CT-97601.nii.gz,0.5974843225308827,0.7686802,0.15095561742782593,0.2312166690826416,0.0,0.3135637044906616,0.7680433988571167,0.35815197229385376,0.9105851054191589,0.949891984462738,0.9366844296455383,0.9465546011924744,0.6947323679924011,1.0,0.27526363730430603,0.9312741160392761,0.8978629112243652
