ct_name,macro_avg_dice,micro_avg_dice,dice_right adrenal gland,dice_left adrenal gland,dice_bladder,dice_duodenum,dice_esophagus,dice_gallbladder,dice_heart,dice_right kidney,dice_left kidney,dice_liver,dice_pancreas,dice_prostate,dice_small bowel,dice_spleen,dice_stomach
05-30-2008-NA-CT-57300.nii.gz,0.5827404568592708,0.77614623,0.34285715222358704,0.10288065671920776,0.814402163028717,0.314700186252594,0.5160121917724609,0.18496625125408173,0.8732470273971558,0.9283968806266785,0.9259134531021118,0.9492024183273315,0.7360596060752869,0.0,0.34880921244621277,0.8438812494277954,0.8597784042358398
05-13-2005-NA-CT-44431.nii.gz,0.8062249592372349,0.92456865,0.4088050425052643,0.49977126717567444,0.9146692156791687,0.598611056804657,0.7728784084320068,0.8099135756492615,0.8540956974029541,0.9602705240249634,0.9640412330627441,0.9591017961502075,0.7669122815132141,1.0,0.8795526623725891,0.9549190402030945,0.9436076283454895
09-29-2004-NA-CT-18077.nii.gz,0.5943522162735462,0.86958236,0.07122983038425446,0.0,0.7453963756561279,0.5422062277793884,0.6507770419120789,0.8125762343406677,0.8344616293907166,0.9522497653961182,0.0,0.9546806812286377,0.7218576073646545,0.032713498920202255,0.761273205280304,0.9028656482696533,0.9329954981803894
12-09-2008-NA-CT-41199.nii.gz,0.7035374057346157,0.7529031,0.3557085394859314,0.024657534435391426,0.9111751317977905,0.2921999990940094,0.698752760887146,0.8772338032722473,0.9122833609580994,0.9372077584266663,0.9449151158332825,0.9565948843955994,0.7460598945617676,1.0,0.2988629937171936,0.9438369274139404,0.9500349760055542
09-18-2009-NA-CT-39365.nii.gz,0.7352348032097021,0.8738015,0.39757040143013,0.48772764205932617,0.924271821975708,0.6699551343917847,0.6909703016281128,0.890426516532898,0.7058630585670471,0.9476578235626221,0.9558616280555725,0.952863872051239,0.8063700795173645,0.02591419592499733,0.7318165898323059,0.9567464590072632,0.8845065236091614
05-01-2008-NA-CT-59741.nii.gz,0.758222405399595,0.8490779,1.0,0.6006203889846802,0.9390223026275635,0.5240186452865601,0.6898975372314453,0.8961029648780823,0.8786045908927917,0.9167537093162537,0.960292398929596,0.9508947134017944,0.7862225770950317,0.0,0.655105471611023,0.9532246589660645,0.8643537163734436
12-31-2007-NA-CT-49090.nii.gz,0.803096666932106,0.8999376,0.5871678590774536,0.6360518932342529,0.9576647877693176,0.6474747657775879,0.4451862871646881,0.8285375237464905,0.9052960276603699,0.9622021913528442,0.9695287346839905,0.9686432480812073,0.8142947554588318,1.0,0.6078246235847473,0.963029146194458,0.9504514932632446
09-08-2009-NA-CT-96166.nii.gz,0.7661352773507436,0.8866815,0.392209529876709,0.33823856711387634,0.8966761827468872,0.6353945136070251,0.6691551804542542,0.898665726184845,0.8842127919197083,0.9497964382171631,0.9529349207878113,0.9622443318367004,0.7826810479164124,0.5085007548332214,0.7436624765396118,0.9401489496231079,0.9375077486038208
05-29-2008-NA-CT-34624.nii.gz,0.6852603395779927,0.88483346,0.63518887758255,0.0,0.6708042025566101,0.7147790789604187,0.6481935977935791,0.5723459124565125,0.8560948967933655,0.9599208235740662,0.9641122221946716,0.951295018196106,0.7410518527030945,0.0,0.7347332835197449,0.9270036220550537,0.9033817052841187
04-21-2006-NA-CT-44270.nii.gz,0.5789053966601689,0.87261397,0.5757746696472168,0.5606991648674011,0.0,0.32751360535621643,0.21197037398815155,0.0,0.8642119765281677,0.9412193298339844,0.9392211437225342,0.9529502987861633,0.8030602931976318,0.0,0.7194808125495911,0.895980179309845,0.8914991021156311
06-21-2007-NA-CT-82058.nii.gz,0.7437718489340374,0.84850526,0.10481081902980804,0.16943494975566864,0.9082361459732056,0.7566000819206238,0.7410305142402649,0.8608182072639465,0.8385007977485657,0.9435735940933228,0.9495594501495361,0.93806391954422,0.7555818557739258,1.0,0.5967262387275696,0.9273439049720764,0.9225254058837891
